ID,Sensor Type,Generation,Description,Road Class,Compass Direction,Points,
E1822,RTEM Speed,Automatic,Station 1822,A,-1,0,
E1822,RTEM Speed,Automatic,Station 1822,A,-1,0,
E1991,RTEM Speed,Automatic,A45 Coventry Road / Kings Road,A,-1,52.463468:-1.8351227,
E1991,RTEM Speed,Automatic,A45 Coventry Road / Kings Road,A,-1,52.463468:-1.8351374,
E1991,RTEM Speed,Automatic,A45 Coventry Road / Kings Road,A,-1,52.463477:-1.8351668,
E1991,RTEM Speed,Automatic,A45 Coventry Road / Kings Road,A,-1,52.463477:-1.8351373,
E1994,RTEM Speed,Automatic,Coventry Road / Holder Road,A,-1,52.462418:-1.823823,
E1994,RTEM Speed,Automatic,Coventry Road / Holder Road,A,-1,52.462579:-1.8236751,
E2132,RTEM Speed,Automatic,East Meadway / Tile Cross / Gressel Lane,A,-1,52.482463:-1.7609117,
E2132,RTEM Speed,Automatic,East Meadway / Tile Cross / Gressel Lane,A,-1,52.482391:-1.7607206,
E2132,RTEM Speed,Automatic,East Meadway / Tile Cross / Gressel Lane,A,-1,52.482616:-1.7608225,
E2132,RTEM Speed,Automatic,East Meadway / Tile Cross / Gressel Lane,A,-1,52.482579:-1.7605871,
E2233,RTEM Speed,Automatic,Bromford Lane/Drews Lane,A,-1,52.501881:-1.829163,
E2233,RTEM Speed,Automatic,Bromford Lane/Drews Lane,A,-1,52.501881:-1.829163,
E2235,RTEM Speed,Automatic,Bromford Lane/Bromford Road,A,-1,52.503032:-1.830093,
E2235,RTEM Speed,Automatic,Bromford Lane/Bromford Road,A,-1,52.503032:-1.830093,
E2235,RTEM Speed,Automatic,Bromford Lane/Bromford Road,A,-1,52.503032:-1.830093,
E2235,RTEM Speed,Automatic,Bromford Lane/Bromford Road,A,-1,52.503032:-1.830093,
E2248,RTEM Speed,Automatic,Washwood Heath Road / Aston Church Road,A,-1,52.496212:-1.851606,
E2248,RTEM Speed,Automatic,Washwood Heath Road / Aston Church Road,A,-1,52.496212:-1.851606,
E2259,RTEM Speed,Automatic,Washwood Heath Road / Drews Lane,A,-1,52.496490:-1.839667,
E2259,RTEM Speed,Automatic,Washwood Heath Road / Drews Lane,A,-1,52.496490:-1.839667,
E2259,RTEM Speed,Automatic,Washwood Heath Road / Drews Lane,A,-1,52.496490:-1.839667,
E2259,RTEM Speed,Automatic,Washwood Heath Road / Drews Lane,A,-1,52.496490:-1.839667,
E3012,RTEM Speed,Automatic,Station 3012,A,-1,0,
E3012,RTEM Speed,Automatic,Station 3012,A,-1,0,
E3012,RTEM Speed,Automatic,Station 3012,A,-1,0,
E3012,RTEM Speed,Automatic,Station 3012,A,-1,0,
E3267,RTEM Speed,Automatic,Station 3267,A,-1,52.462635:-1.8245286,
E3267,RTEM Speed,Automatic,Station 3267,A,-1,52.462635:-1.8245286,
E4315,RTEM Speed,Automatic,Walmley Road/Fox Hollies Road,A,-1,52.541896:-1.800228,
E4315,RTEM Speed,Automatic,Walmley Road/Fox Hollies Road,A,-1,52.541896:-1.800228,
E4438,RTEM Speed,Automatic,Bromford Lane/Wheelwright Lane,A,-1,52.507991:-1.833084,
E4438,RTEM Speed,Automatic,Bromford Lane/Wheelwright Lane,A,-1,52.507991:-1.833084,
E4438,RTEM Speed,Automatic,Bromford Lane/Wheelwright Lane,A,-1,52.507991:-1.833084,
E4438,RTEM Speed,Automatic,Bromford Lane/Wheelwright Lane,A,-1,52.507991:-1.833084,
E4439,RTEM Speed,Automatic,Station 4439,A,-1,52.51105:-1.8339872,
E4439,RTEM Speed,Automatic,Tyburn Road / Bromford Lane,A,-1,52.51105:-1.8339872,
E4439,RTEM Speed,Automatic,Station 4439,A,-1,52.51105:-1.8339872,
E4439,RTEM Speed,Automatic,Station 4439,A,-1,52.51105:-1.8339872,
E4451,RTEM Speed,Automatic,Tyburn Road / Jarvis Way,A,-1,52.5091:-1.8476086,
E4451,RTEM Speed,Automatic,Tyburn Road / Jarvis Way,A,-1,52.509064:-1.8476087,
E4451,RTEM Speed,Automatic,Tyburn Road / Jarvis Way,A,-1,52.509046:-1.847653,
E4451,RTEM Speed,Automatic,Tyburn Road / Jarvis Way,A,-1,52.509091:-1.8475202,
E7332,RTEM Speed,Automatic,Station 7332,A,-1,52.462635:-1.8245286,
E7332,RTEM Speed,Automatic,Station 7332,A,-1,52.462635:-1.8245286,
E7332,RTEM Speed,Automatic,Station 7332,A,-1,52.462635:-1.8245286,
E7332,RTEM Speed,Automatic,Station 7332,A,-1,52.462635:-1.8245286,
